Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
26000,NIFTY INDEX,,,,
26009,NIFTY BANK,,,,
26017,INDIA VIX,,,,
26037,FINNIFTY,,,,
26074,MIDCPNIFTY,,,,
26013,NIFTYNXT50,,,,
17635,ZYDUSWELL-EQ,,,,
7929,ZYDUSLIFE-EQ,,,,
3827,ZUARIIND-EQ,,,,
29050,ZUARI-EQ,,,,
23979,ZTECH-ST,,,,
11394,ZOTA-EQ,,,,
3821,ZODIACLOTH-EQ,,,,
7129,ZODIAC-EQ,,,,
12384,ZIMLAB-EQ,,,,
16915,ZFCVINDIA-EQ,,,,
7508,ZENTEC-EQ,,,,
1076,ZENSARTECH-EQ,,,,
14562,ZENITHSTL-EQ,,,,
8802,ZENITHEXPO-BE,,,,
22806,ZENITHDRUG-ST,,,,
14003,ZEEMEDIA-EQ,,,,
20852,ZEELEARN-EQ,,,,
3812,ZEEL-EQ,,,,
17766,ZEAL-SM,,,,
18608,ZAGGLE-EQ,,,,
5501,YUKEN-EQ,,,,
18051,YUDIZ-ST,,,,
11915,YESBANK-EQ,,,,
17627,YCCL-SM,,,,
18760,YATRA-EQ,,,,
17738,YATHARTH-EQ,,,,
23451,YASHOPTICS-SM,,,,
18131,YASHO-EQ,,,,
25003,YAARI-BE,,,,
25235,XTGLOBAL-EQ,,,,
11407,XPROINDIA-EQ,,,,
8478,XELPMOC-BE,,,,
11705,XCHANGING-EQ,,,,
22725,WTICAB-SM,,,,
3799,WSTCSTPAPR-EQ,,,,
14832,WSI-BE,,,,
22277,WORTH-EQ,,,,
3002,WONDERLA-EQ,,,,
19627,WOMANCART-SM,,,,
25602,WOL3D-SM,,,,
7506,WOCKPHARMA-EQ,,,,
3787,WIPRO-EQ,,,,
20481,WIPL-EQ,,,,
14757,WINSOME-BZ,,,,
23714,WINSOL-SM,,,,
24176,WINNY-ST,,,,
24969,WINDMACHIN-EQ,,,,
5366,WINDLAS-EQ,,,,
3772,WILLAMAGOR-EQ,,,,
18011,WHIRLPOOL-EQ,,,,
3766,WHEELS-EQ,,,,
9865,WEWIN-BE,,,,
11580,WESTLIFE-EQ,,,,
4235,WENDT-EQ,,,,
11253,WELSPUNLIV-EQ,,,,
19800,WELINV-EQ,,,,
11626,WELENT-EQ,,,,
11821,WELCORP-EQ,,,,
7835,WEL-EQ,,,,
3748,WEIZMANIND-EQ,,,,
14602,WEBELSOLAR-EQ,,,,
1933,WEALTH-BE,,,,
25403,WCIL-EQ,,,,
14063,WANBURY-EQ,,,,
5013,WALPAR-SM,,,,
3736,WALCHANNAG-EQ,,,,
20188,WABAG-EQ,,,,
756038,WAAREERTL-EQ,,,,
25907,WAAREEENER-EQ,,,,
2073,VTL-EQ,,,,
24292,VSTTILLERS-EQ,,,,
22730,VSTL-EQ,,,,
3724,VSTIND-EQ,,,,
27067,VSSL-EQ,,,,
20974,VSCL-ST,,,,
8696,VRLLOG-EQ,,,,
24321,VRAJ-EQ,,,,
23018,VR-SM,,,,
18341,VPRPL-EQ,,,,
3718,VOLTAS-EQ,,,,
13577,VOLTAMP-EQ,,,,
29658,VOLERCAR-SM,,,,
27969,VMM-EQ,,,,
29284,VMART-EQ,,,,
3193,VMARCIND-ST,,,,
3715,VLSFINANCE-EQ,,,,
24606,VLINFRA-SM,,,,
18021,VLEGOV-BE,,,,
7610,VIVO-SM,,,,
29877,VIVIDHA-EQ,,,,
10970,VIVIANA-ST,,,,
11920,VITAL-SM,,,,
23370,VISHWAS-SM,,,,
13702,VISHWARAJ-EQ,,,,
19300,VISHNUINFR-SM,,,,
6908,VISHNU-EQ,,,,
13298,VISASTEEL-BE,,,,
24274,VISAMAN-SM,,,,
4221,VISAKAIND-EQ,,,,
15295,VIRINCHI-EQ,,,,
8437,VIPULLTD-BE,,,,
3703,VIPIND-EQ,,,,
14847,VIPCLOTHNG-BE,,,,
16821,VINYLINDIA-EQ,,,,
19206,VINYAS-SM,,,,
17898,VINSYS-SM,,,,
12506,VINNY-BE,,,,
3807,VINEETLAB-EQ,,,,
